# 2022-02-10, 15:25:09.526505
# fs = 1000 Hz, N = 256
# NI 9201, 17.0.0
t,ai0
0.000000000,-0.022229928
0.001000000,0.044595896
0.002000000,0.116562168
0.003000000,0.167966648
0.004000000,0.234792472
0.005000000,0.296477848
0.006000000,0.358163224
0.007000000,0.414708152
0.008000000,0.466112632
0.009000000,0.517517112
0.010000000,0.574062040
0.011000000,0.625466520
0.012000000,0.676871000
0.013000000,0.717994584
0.014000000,0.764258616
0.015000000,0.800241752
0.016000000,0.836224888
0.017000000,0.861927128
0.018000000,0.897910264
0.019000000,0.918472056
0.020000000,0.949314744
0.021000000,0.964736088
0.022000000,0.975016984
0.023000000,0.985297880
0.024000000,0.995578776
0.025000000,1.005859672
0.026000000,0.995578776
0.027000000,0.985297880
0.028000000,0.985297880
0.029000000,0.975016984
0.030000000,0.954455192
0.031000000,0.939033848
0.032000000,0.908191160
0.033000000,0.882488920
0.034000000,0.851646232
0.035000000,0.820803544
0.036000000,0.779679960
0.037000000,0.738556376
0.038000000,0.697432792
0.039000000,0.651168760
0.040000000,0.599764280
0.041000000,0.553500248
0.042000000,0.496955320
0.043000000,0.435269944
0.044000000,0.383865464
0.045000000,0.322180088
0.046000000,0.265635160
0.047000000,0.198809336
0.048000000,0.142264408
0.049000000,0.075438584
0.050000000,0.018893656
0.051000000,-0.047932168
0.052000000,-0.114757992
0.053000000,-0.176443368
0.054000000,-0.227847848
0.055000000,-0.294673672
0.056000000,-0.351218600
0.057000000,-0.412903976
0.058000000,-0.474589352
0.059000000,-0.520853384
0.060000000,-0.577398312
0.061000000,-0.628802792
0.062000000,-0.675066824
0.063000000,-0.721330856
0.064000000,-0.762454440
0.065000000,-0.803578024
0.066000000,-0.834420712
0.067000000,-0.865263400
0.068000000,-0.901246536
0.069000000,-0.926948776
0.070000000,-0.947510568
0.071000000,-0.968072360
0.072000000,-0.978353256
0.073000000,-0.993774600
0.074000000,-0.993774600
0.075000000,-1.009195944
0.076000000,-0.998915048
0.077000000,-0.998915048
0.078000000,-0.988634152
0.079000000,-0.973212808
0.080000000,-0.957791464
0.081000000,-0.942370120
0.082000000,-0.921808328
0.083000000,-0.880684744
0.084000000,-0.854982504
0.085000000,-0.813858920
0.086000000,-0.783016232
0.087000000,-0.741892648
0.088000000,-0.700769064
0.089000000,-0.654505032
0.090000000,-0.603100552
0.091000000,-0.546555624
0.092000000,-0.500291592
0.093000000,-0.443746664
0.094000000,-0.382061288
0.095000000,-0.330656808
0.096000000,-0.268971432
0.097000000,-0.202145608
0.098000000,-0.145600680
0.099000000,-0.078774856
0.100000000,-0.017089480
0.101000000,0.049736344
0.102000000,0.111421720
0.103000000,0.162826200
0.104000000,0.229652024
0.105000000,0.286196952
0.106000000,0.347882328
0.107000000,0.414708152
0.108000000,0.471253080
0.109000000,0.517517112
0.110000000,0.574062040
0.111000000,0.620326072
0.112000000,0.671730552
0.113000000,0.717994584
0.114000000,0.764258616
0.115000000,0.800241752
0.116000000,0.836224888
0.117000000,0.867067576
0.118000000,0.903050712
0.119000000,0.923612504
0.120000000,0.939033848
0.121000000,0.964736088
0.122000000,0.980157432
0.123000000,0.990438328
0.124000000,0.995578776
0.125000000,1.000719224
0.126000000,0.995578776
0.127000000,0.995578776
0.128000000,0.980157432
0.129000000,0.969876536
0.130000000,0.949314744
0.131000000,0.933893400
0.132000000,0.913331608
0.133000000,0.882488920
0.134000000,0.851646232
0.135000000,0.815663096
0.136000000,0.784820408
0.137000000,0.738556376
0.138000000,0.697432792
0.139000000,0.651168760
0.140000000,0.599764280
0.141000000,0.538078904
0.142000000,0.486674424
0.143000000,0.435269944
0.144000000,0.378725016
0.145000000,0.322180088
0.146000000,0.265635160
0.147000000,0.198809336
0.148000000,0.137123960
0.149000000,0.080579032
0.150000000,0.013753208
0.151000000,-0.047932168
0.152000000,-0.109617544
0.153000000,-0.171302920
0.154000000,-0.232988296
0.155000000,-0.299814120
0.156000000,-0.351218600
0.157000000,-0.412903976
0.158000000,-0.469448904
0.159000000,-0.520853384
0.160000000,-0.577398312
0.161000000,-0.628802792
0.162000000,-0.675066824
0.163000000,-0.716190408
0.164000000,-0.762454440
0.165000000,-0.798437576
0.166000000,-0.839561160
0.167000000,-0.870403848
0.168000000,-0.896106088
0.169000000,-0.926948776
0.170000000,-0.947510568
0.171000000,-0.973212808
0.172000000,-0.978353256
0.173000000,-0.993774600
0.174000000,-0.993774600
0.175000000,-0.998915048
0.176000000,-0.993774600
0.177000000,-0.993774600
0.178000000,-0.983493704
0.179000000,-0.973212808
0.180000000,-0.957791464
0.181000000,-0.942370120
0.182000000,-0.916667880
0.183000000,-0.885825192
0.184000000,-0.854982504
0.185000000,-0.824139816
0.186000000,-0.788156680
0.187000000,-0.747033096
0.188000000,-0.700769064
0.189000000,-0.654505032
0.190000000,-0.597960104
0.191000000,-0.551696072
0.192000000,-0.495151144
0.193000000,-0.438606216
0.194000000,-0.387201736
0.195000000,-0.320375912
0.196000000,-0.263830984
0.197000000,-0.202145608
0.198000000,-0.140460232
0.199000000,-0.073634408
0.200000000,-0.017089480
0.201000000,0.044595896
0.202000000,0.106281272
0.203000000,0.178247544
0.204000000,0.239932920
0.205000000,0.296477848
0.206000000,0.358163224
0.207000000,0.409567704
0.208000000,0.471253080
0.209000000,0.522657560
0.210000000,0.574062040
0.211000000,0.630606968
0.212000000,0.671730552
0.213000000,0.717994584
0.214000000,0.764258616
0.215000000,0.800241752
0.216000000,0.825943992
0.217000000,0.861927128
0.218000000,0.897910264
0.219000000,0.918472056
0.220000000,0.944174296
0.221000000,0.964736088
0.222000000,0.980157432
0.223000000,0.985297880
0.224000000,0.995578776
0.225000000,0.995578776
0.226000000,0.995578776
0.227000000,0.995578776
0.228000000,0.985297880
0.229000000,0.975016984
0.230000000,0.954455192
0.231000000,0.928752952
0.232000000,0.913331608
0.233000000,0.887629368
0.234000000,0.856786680
0.235000000,0.815663096
0.236000000,0.779679960
0.237000000,0.738556376
0.238000000,0.697432792
0.239000000,0.646028312
0.240000000,0.604904728
0.241000000,0.548359800
0.242000000,0.496955320
0.243000000,0.440410392
0.244000000,0.389005912
0.245000000,0.322180088
0.246000000,0.270775608
0.247000000,0.209090232
0.248000000,0.142264408
0.249000000,0.085719480
0.250000000,0.013753208
0.251000000,-0.047932168
0.252000000,-0.114757992
0.253000000,-0.171302920
0.254000000,-0.232988296
0.255000000,-0.294673672
