# 2022-02-10, 15:33:43.415893
# fs = 1000 Hz, N = 256
# NI 9201, 17.0.0
t,ai0
0.000000000,-0.803578024
0.001000000,-0.767594888
0.002000000,-0.726471304
0.003000000,-0.680207272
0.004000000,-0.633943240
0.005000000,-0.582538760
0.006000000,-0.531134280
0.007000000,-0.474589352
0.008000000,-0.418044424
0.009000000,-0.366639944
0.010000000,-0.304954568
0.011000000,-0.243269192
0.012000000,-0.176443368
0.013000000,-0.125038888
0.014000000,-0.058213064
0.015000000,0.003472312
0.016000000,0.070298136
0.017000000,0.131983512
0.018000000,0.188528440
0.019000000,0.255354264
0.020000000,0.311899192
0.021000000,0.373584568
0.022000000,0.430129496
0.023000000,0.486674424
0.024000000,0.538078904
0.025000000,0.599764280
0.026000000,0.640887864
0.027000000,0.692292344
0.028000000,0.743696824
0.029000000,0.774539512
0.030000000,0.805382200
0.031000000,0.846505784
0.032000000,0.882488920
0.033000000,0.913331608
0.034000000,0.928752952
0.035000000,0.949314744
0.036000000,0.964736088
0.037000000,0.990438328
0.038000000,0.990438328
0.039000000,1.000719224
0.040000000,0.995578776
0.041000000,0.995578776
0.042000000,0.990438328
0.043000000,0.985297880
0.044000000,0.969876536
0.045000000,0.954455192
0.046000000,0.933893400
0.047000000,0.903050712
0.048000000,0.867067576
0.049000000,0.841365336
0.050000000,0.805382200
0.051000000,0.764258616
0.052000000,0.723135032
0.053000000,0.676871000
0.054000000,0.635747416
0.055000000,0.584342936
0.056000000,0.527798008
0.057000000,0.476393528
0.058000000,0.414708152
0.059000000,0.358163224
0.060000000,0.301618296
0.061000000,0.245073368
0.062000000,0.178247544
0.063000000,0.126843064
0.064000000,0.049736344
0.065000000,-0.001668136
0.066000000,-0.073634408
0.067000000,-0.130179336
0.068000000,-0.191864712
0.069000000,-0.253550088
0.070000000,-0.310095016
0.071000000,-0.376920840
0.072000000,-0.428325320
0.073000000,-0.495151144
0.074000000,-0.546555624
0.075000000,-0.587679208
0.076000000,-0.644224136
0.077000000,-0.685347720
0.078000000,-0.731611752
0.079000000,-0.777875784
0.080000000,-0.818999368
0.081000000,-0.849842056
0.082000000,-0.880684744
0.083000000,-0.906386984
0.084000000,-0.932089224
0.085000000,-0.952651016
0.086000000,-0.968072360
0.087000000,-0.988634152
0.088000000,-0.993774600
0.089000000,-0.998915048
0.090000000,-0.998915048
0.091000000,-0.993774600
0.092000000,-0.988634152
0.093000000,-0.983493704
0.094000000,-0.962931912
0.095000000,-0.942370120
0.096000000,-0.926948776
0.097000000,-0.906386984
0.098000000,-0.880684744
0.099000000,-0.844701608
0.100000000,-0.813858920
0.101000000,-0.767594888
0.102000000,-0.726471304
0.103000000,-0.685347720
0.104000000,-0.623662344
0.105000000,-0.582538760
0.106000000,-0.531134280
0.107000000,-0.484870248
0.108000000,-0.423184872
0.109000000,-0.361499496
0.110000000,-0.299814120
0.111000000,-0.243269192
0.112000000,-0.176443368
0.113000000,-0.119898440
0.114000000,-0.058213064
0.115000000,0.008612760
0.116000000,0.070298136
0.117000000,0.131983512
0.118000000,0.198809336
0.119000000,0.255354264
0.120000000,0.317039640
0.121000000,0.368444120
0.122000000,0.424989048
0.123000000,0.486674424
0.124000000,0.538078904
0.125000000,0.589483384
0.126000000,0.646028312
0.127000000,0.687151896
0.128000000,0.733415928
0.129000000,0.769399064
0.130000000,0.810522648
0.131000000,0.841365336
0.132000000,0.882488920
0.133000000,0.908191160
0.134000000,0.933893400
0.135000000,0.954455192
0.136000000,0.969876536
0.137000000,0.980157432
0.138000000,0.990438328
0.139000000,0.990438328
0.140000000,0.995578776
0.141000000,0.990438328
0.142000000,0.995578776
0.143000000,0.980157432
0.144000000,0.969876536
0.145000000,0.949314744
0.146000000,0.923612504
0.147000000,0.892769816
0.148000000,0.867067576
0.149000000,0.846505784
0.150000000,0.805382200
0.151000000,0.769399064
0.152000000,0.723135032
0.153000000,0.676871000
0.154000000,0.630606968
0.155000000,0.584342936
0.156000000,0.527798008
0.157000000,0.471253080
0.158000000,0.419848600
0.159000000,0.353022776
0.160000000,0.301618296
0.161000000,0.239932920
0.162000000,0.178247544
0.163000000,0.121702616
0.164000000,0.054876792
0.165000000,-0.006808584
0.166000000,-0.068493960
0.167000000,-0.135319784
0.168000000,-0.191864712
0.169000000,-0.263830984
0.170000000,-0.315235464
0.171000000,-0.371780392
0.172000000,-0.428325320
0.173000000,-0.490010696
0.174000000,-0.541415176
0.175000000,-0.597960104
0.176000000,-0.644224136
0.177000000,-0.690488168
0.178000000,-0.731611752
0.179000000,-0.777875784
0.180000000,-0.813858920
0.181000000,-0.844701608
0.182000000,-0.875544296
0.183000000,-0.911527432
0.184000000,-0.926948776
0.185000000,-0.952651016
0.186000000,-0.973212808
0.187000000,-0.978353256
0.188000000,-0.988634152
0.189000000,-0.993774600
0.190000000,-0.998915048
0.191000000,-1.004055496
0.192000000,-0.993774600
0.193000000,-0.988634152
0.194000000,-0.973212808
0.195000000,-0.947510568
0.196000000,-0.932089224
0.197000000,-0.901246536
0.198000000,-0.875544296
0.199000000,-0.834420712
0.200000000,-0.808718472
0.201000000,-0.767594888
0.202000000,-0.726471304
0.203000000,-0.675066824
0.204000000,-0.633943240
0.205000000,-0.577398312
0.206000000,-0.531134280
0.207000000,-0.474589352
0.208000000,-0.418044424
0.209000000,-0.361499496
0.210000000,-0.310095016
0.211000000,-0.243269192
0.212000000,-0.181583816
0.213000000,-0.119898440
0.214000000,-0.058213064
0.215000000,0.008612760
0.216000000,0.075438584
0.217000000,0.131983512
0.218000000,0.193668888
0.219000000,0.255354264
0.220000000,0.317039640
0.221000000,0.378725016
0.222000000,0.435269944
0.223000000,0.491814872
0.224000000,0.538078904
0.225000000,0.589483384
0.226000000,0.640887864
0.227000000,0.692292344
0.228000000,0.733415928
0.229000000,0.774539512
0.230000000,0.810522648
0.231000000,0.851646232
0.232000000,0.872208024
0.233000000,0.903050712
0.234000000,0.928752952
0.235000000,0.954455192
0.236000000,0.975016984
0.237000000,0.980157432
0.238000000,0.990438328
0.239000000,1.000719224
0.240000000,0.990438328
0.241000000,0.990438328
0.242000000,0.990438328
0.243000000,0.980157432
0.244000000,0.969876536
0.245000000,0.954455192
0.246000000,0.928752952
0.247000000,0.897910264
0.248000000,0.872208024
0.249000000,0.836224888
0.250000000,0.805382200
0.251000000,0.774539512
0.252000000,0.723135032
0.253000000,0.671730552
0.254000000,0.635747416
0.255000000,0.584342936
